Name,GEOD,GEOG3D,GEOG2D,Epoch,Based on
ETRF89,7914,7915,9059,"1989,0",ITRF89
ETRF90,7916,7917,9060,"1989,0",ITRF90
ETRF91,7918,7919,9061,"1989,0",ITRF91
ETRF92,7920,7921,9062,"1989,0",ITRF92
ETRF93,7922,7923,9063,"1989,0",ITRF93
ETRF94,7924,7925,9064,"1989,0",ITRF94
ETRF96,7926,7927,9065,"1989,0",ITRF96
ETRF97,7928,7929,9066,"1989,0",ITRF97
ETRF2000,7930,7931,9067,"1989,0",ITRF2000
ETRF2005,8397,8399,9068,"1989,0",ITRF2005
ETRF2014,8401,8403,9069,"1989,0",ITRF2014
ETRF2020,10569,10570,10571,"1989,0",ITRF2020
